scenario,our_mit,oracle_mit,regret_%,oracle_picks
Forecast-as-truth,137460.82240867615,137460.82240867615,0.0,"['26125', '26163', '26139', '26125', '26163']"
Noisy ±20% #1,134819.12963944432,135377.32757812628,0.4123274913665454,"['26125', '26163', '26139', '26125', '26099']"
Noisy ±20% #2,131704.96667831184,131838.21978314826,0.10107319793577085,"['26125', '26163', '26139', '26163', '26099']"
Noisy ±20% #3,135132.94265127537,135132.94265127537,0.0,"['26125', '26163', '26139', '26163', '26125']"
Noisy ±20% #4,135700.48785689,135700.48785689,0.0,"['26125', '26163', '26139', '26125', '26163']"
Noisy ±20% #5,133697.4202757246,133697.4202757246,0.0,"['26125', '26163', '26139', '26125', '26163']"
Epicenter shift #1,157.88023517793044,137460.82240867615,99.88514528546283,"['26003', '26041', '26117', '26003', '26041']"
Epicenter shift #2,2047.1013625916821,137460.82240867615,98.51077468712826,"['26015', '26055', '26079', '26015', '26055']"
Epicenter shift #3,443.18541685219225,137460.82240867615,99.67759147000112,"['26143', '26037', '26043', '26143', '26037']"
Epicenter shift #4,1141.5742298476107,137460.82240867615,99.1695275716788,"['26059', '26019', '26133', '26059', '26019']"
Epicenter shift #5,2370.9623563783243,137460.82240867615,98.27517228921462,"['26145', '26065', '26115', '26145', '26065']"
Intensity 0.5x,71258.29883861542,80247.94460296631,11.202337715723369,"['26125', '26163', '26139', '26099', '26081']"
Intensity 0.7x,98698.48301029205,104291.19950714111,5.362596770656671,"['26125', '26163', '26139', '26099', '26081']"
Intensity 1.3x,166054.90163860322,166054.90163860322,0.0,"['26125', '26163', '26139', '26125', '26163']"
Intensity 1.5x,180331.95871067047,180331.95871067047,0.0,"['26125', '26163', '26139', '26125', '26163']"
Intensity 2.0x,201596.5203666687,201596.5203666687,0.0,"['26125', '26163', '26139', '26125', '26163']"
Timing shift -6h,117755.98036766052,117755.98036766052,0.0,"['26125', '26163', '26139', '26125', '26163']"
Timing shift -3h,128661.72585105896,128661.72585105896,0.0,"['26125', '26163', '26139', '26125', '26163']"
Timing shift +3h,131718.49937057495,131718.49937057495,0.0,"['26125', '26163', '26139', '26125', '26163']"
Timing shift +6h,125336.21015930176,125336.21015930176,0.0,"['26125', '26163', '26139', '26125', '26163']"
