delta,w,picks,overlap
-0.3,0.0,"['26125', '26163', '26139', '26099', '26081']",3
-0.3,0.25,"['26125', '26163', '26139', '26099', '26081']",3
-0.3,0.5,"['26125', '26163', '26139', '26099', '26081']",3
-0.3,0.75,"['26125', '26163', '26139', '26099', '26081']",3
-0.3,1.0,"['26125', '26163', '26139', '26099', '26081']",3
-0.1,0.0,"['26125', '26163', '26139', '26125', '26099']",4
-0.1,0.25,"['26125', '26163', '26139', '26125', '26099']",4
-0.1,0.5,"['26125', '26163', '26139', '26125', '26099']",4
-0.1,0.75,"['26125', '26163', '26139', '26125', '26099']",4
-0.1,1.0,"['26125', '26163', '26139', '26125', '26099']",4
0.0,0.0,"['26125', '26163', '26139', '26125', '26163']",5
0.0,0.25,"['26125', '26163', '26139', '26125', '26163']",5
0.0,0.5,"['26125', '26163', '26139', '26125', '26163']",5
0.0,0.75,"['26125', '26163', '26139', '26125', '26163']",5
0.0,1.0,"['26125', '26163', '26139', '26125', '26163']",5
0.1,0.0,"['26125', '26163', '26139', '26125', '26163']",5
0.1,0.25,"['26125', '26163', '26139', '26125', '26163']",5
0.1,0.5,"['26125', '26163', '26139', '26125', '26163']",5
0.1,0.75,"['26125', '26163', '26139', '26125', '26163']",5
0.1,1.0,"['26125', '26163', '26139', '26125', '26163']",5
0.3,0.0,"['26125', '26163', '26139', '26125', '26163']",5
0.3,0.25,"['26125', '26163', '26139', '26125', '26163']",5
0.3,0.5,"['26125', '26163', '26139', '26125', '26163']",5
0.3,0.75,"['26125', '26163', '26139', '26125', '26163']",5
0.3,1.0,"['26125', '26163', '26139', '26125', '26163']",5
